Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,GB,XX,,3,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,GB,XX,,50,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,UG,XX,,5,ivory carvings,,E,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,ZA,TZ,2,,tusks,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,US,XX,,17,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZM,,,4,tusks,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,CA,XX,,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ES,XX,,2,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,FR,XX,,6,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,GB,XX,,36,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,GB,XX,,52,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,NZ,XX,,94,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,US,XX,,6,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,US,XX,,52,piano keys,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,UY,XX,,25,ivory carvings,,T,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BA,US,XX,,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,AD,XX,2.95,,ivory carvings,kg,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,CH,XX,1,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,US,CD,,2,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,ZA,,8,,tusks,,P,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BM,US,XX,,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BR,CA,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BW,DK,BW,,2,tusks,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,AU,XX,2,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,CM,,2,,bones,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,CM,,2,,tusks,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,FR,XX,,5.349,ivory carvings,kg,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,FR,XX,16,37,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,FR,XX,,54,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,GB,XX,3,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,GB,XX,,3,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,GB,XX,104,104,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,GB,XX,208,,piano keys,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,GB,,1,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,MZ,,2,,tusks,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,US,TZ,6,,tusks,,L,I
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,US,XX,,1,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,US,XX,138,52,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,US,,52,,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZA,ZM,2,,tusks,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,AT,XX,,2,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,AT,XX,,52,piano keys,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,BE,KE,,1,tusks,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,BE,XX,,2,ivory carvings,kg,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,SD,,1,ivory carvings,,P,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,TZ,,3,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,0.4,ivory carvings,kg,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,18,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,6,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,25,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,0.464,ivory pieces,kg,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DK,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,CI,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,TZ,,4,tusks,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,XX,,3,ivory carvings,kg,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,XX,,1,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,XX,,5,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,XX,,106,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,XX,,264,piano keys,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,XX,,1,tusks,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,GB,CH,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,GB,XX,,26,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IT,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IT,XX,,1,ivory pieces,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IT,XX,,1,ivory pieces,,P,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,SG,XX,,1,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,US,XX,,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,US,XX,,41,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CL,AR,,,1,ivory carvings,,,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,DE,XX,,15,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,DE,XX,,6,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,FR,XX,,7.1,ivory carvings,kg,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,FR,XX,2,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,FR,XX,,8.5,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,FR,XX,,268,piano keys,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,GB,XX,,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,GB,XX,,1,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,GB,XX,,172,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,GB,XX,,444,piano keys,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,PT,XX,,1,tusks,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,PT,XX,,1,tusks,,T,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,SI,CG,,1,tusks,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,US,XX,,26,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,US,XX,,416,piano keys,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,UY,XX,6,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,ZA,MZ,4,,tusks,,H,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,3,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,1,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,9,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,ZA,1,,ivory carvings,,T,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CI,,,350,bones,g,S,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,US,XX,,105,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,US,,1,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,VE,XX,,52,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,NO,XX,3,,ivory carvings,kg,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,EG,AE,XX,,1,tusks,,E,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ES,US,XX,,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ES,VE,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ET,AE,XX,,4,ivory pieces,,E,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ET,AE,XX,,1,tusks,,E,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FI,NZ,XX,1,8,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FI,US,XX,,28,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CA,XX,26,37,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CH,XX,1,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CH,XX,1,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CH,XX,19.5,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CH,ZA,52,,piano keys,,P,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,JP,XX,88.5,88.5,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,KR,XX,3,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,MX,XX,19,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,RU,XX,15,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,SG,XX,14,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,US,KE,,52,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,US,XX,,1,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,US,XX,,2,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,US,XX,,52,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZA,XX,1,,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,AU,XX,14,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,AU,XX,2,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,AU,XX,52,,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,CA,XX,,3,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,CA,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,CH,XX,1,,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,CH,XX,1,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,CN,XX,5,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,GG,XX,,9,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,HK,XX,,5,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,JE,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,JP,XX,,0.5,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,JP,XX,11,6,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,KE,XX,,0.4,ivory carvings,kg,P,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,KE,XX,,50,piano keys,,P,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,LB,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,NZ,XX,,29,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,NZ,XX,,52,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,SG,XX,3,3,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,TR,XX,1,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,TR,XX,,1,ivory pieces,,T,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,US,XX,48,63,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,US,XX,,20,ivory carvings,,Q,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,US,XX,9,9,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,UY,XX,110,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,UY,XX,,111,ivory carvings,,T,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,VE,XX,,1,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,,1,,tusks,,P,W
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GL,DK,KE,,3,ivory carvings,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,AT,XX,1,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,AT,XX,,52,piano keys,,P,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,AO,3,3,tusks,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,BF,2,2,tusks,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,CD,,115.46,ivory carvings,kg,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,CD,3,,ivory carvings,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,CD,49,51,tusks,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,CF,12,12,tusks,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,CG,13,2,tusks,,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,CI,,2.7,ivory carvings,kg,T,O
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,BE,CI,24,25,tusks,,T,O
